iter	Passed	Remaining
1166	23820	6797
1167	23836	6775
1168	23852	6753
1169	23868	6732
1170	23882	6710
1171	23905	6690
1172	23928	6670
1173	23939	6647
1174	23952	6625
1175	23964	6602
1176	23977	6580
1177	23999	6560
1178	24010	6537
1179	24024	6515
1180	24047	6495
1181	24059	6472
1182	24070	6450
1183	24085	6428
1184	24106	6408
1185	24118	6385
1186	24133	6363
1187	24154	6343
1188	24178	6324
1189	24190	6301
1190	24202	6279
1191	24225	6259
1192	24237	6237
1193	24249	6214
1194	24268	6194
1195	24281	6172
1196	24301	6151
1197	24321	6131
1198	24337	6109
1199	24353	6088
1200	24372	6067
1201	24385	6045
1202	24412	6027
1203	24428	6005
1204	24442	5983
1205	24464	5964
1206	24480	5942
1207	24496	5921
1208	24512	5899
1209	24527	5878
1210	24543	5857
1211	24571	5838
1212	24587	5817
1213	24611	5798
1214	24635	5778
1215	24651	5757
1216	24667	5736
1217	24683	5714
1218	24699	5693
1219	24715	5672
1220	24731	5651
1221	24746	5629
1222	24763	5608
1223	24778	5587
1224	24789	5565
1225	24798	5542
1226	24818	5522
1227	24834	5500
1228	24847	5479
1229	24862	5457
1230	24875	5435
1231	24884	5413
1232	24903	5392
1233	24924	5372
1234	24944	5352
1235	24962	5331
1236	24981	5311
1237	25000	5290
1238	25018	5270
1239	25036	5249
1240	25057	5229
1241	25074	5208
1242	25092	5188
1243	25114	5168
1244	25129	5147
1245	25146	5126
1246	25165	5105
1247	25183	5085
1248	25201	5064
1249	25220	5044
1250	25239	5023
1251	25271	5005
1252	25280	4983
1253	25293	4961
1254	25315	4942
1255	25331	4921
1256	25348	4900
1257	25355	4877
1258	25366	4855
1259	25382	4834
1260	25394	4813
1261	25406	4791
1262	25420	4770
1263	25424	4746
1264	25446	4727
1265	25462	4706
1266	25470	4683
1267	25484	4662
1268	25505	4642
1269	25518	4621
1270	25530	4599
1271	25541	4578
1272	25553	4556
1273	25565	4535
1274	25577	4513
1275	25597	4493
1276	25648	4478
1277	25661	4457
1278	25670	4435
1279	25689	4415
1280	25712	4395
1281	25721	4373
1282	25743	4354
1283	25755	4332
1284	25770	4311
1285	25783	4290
1286	25792	4268
1287	25800	4246
1288	25821	4226
1289	25839	4206
1290	25846	4184
1291	25859	4163
1292	25897	4145
1293	25927	4127
1294	25949	4107
1295	26015	4095
1296	26069	4080
1297	26083	4059
1298	26108	4039
1299	26147	4022
1300	26185	4005
1301	26216	3986
1302	26262	3970
1303	26305	3953
1304	26337	3935
1305	26356	3915
1306	26382	3895
1307	26448	3882
1308	26471	3862
1309	26481	3840
1310	26501	3820
1311	26536	3802
1312	26550	3781
1313	26559	3759
1314	26570	3737
1315	26591	3718
1316	26615	3698
1317	26634	3677
1318	26664	3658
1319	26695	3640
1320	26713	3619
1321	26728	3598
1322	26756	3579
1323	26764	3557
1324	26807	3540
1325	26831	3520
1326	26846	3499
1327	26871	3480
1328	26887	3459
1329	26899	3438
1330	26923	3418
1331	26962	3400
1332	26990	3381
1333	26999	3359
1334	27020	3339
1335	27029	3317
1336	27046	3297
1337	27056	3275
1338	27068	3254
1339	27100	3235
1340	27108	3214
1341	27137	3194
1342	27154	3174
1343	27173	3154
1344	27188	3133
1345	27214	3113
1346	27236	3093
1347	27249	3072
1348	27266	3052
1349	27289	3032
1350	27298	3010
1351	27324	2991
1352	27340	2970
1353	27361	2950
1354	27372	2929
1355	27380	2907
1356	27418	2889
1357	27428	2868
1358	27447	2847
1359	27459	2826
1360	27473	2805
1361	27493	2785
1362	27502	2764
1363	27510	2743
1364	27525	2722
1365	27539	2701
1366	27559	2681
1367	27569	2660
1368	27579	2639
1369	27604	2619
1370	27629	2599
1371	27646	2579
1372	27654	2557
1373	27664	2536
1374	27685	2516
1375	27707	2496
1376	27727	2476
1377	27740	2456
1378	27757	2435
1379	27768	2414
1380	27797	2395
1381	27805	2374
1382	27825	2353
1383	27836	2333
1384	27867	2313
1385	27874	2292
1386	27890	2272
1387	27908	2252
1388	27918	2231
1389	27938	2210
1390	27952	2190
1391	27968	2169
1392	27979	2149
1393	27996	2128
1394	28012	2108
1395	28021	2087
1396	28029	2066
1397	28046	2046
1398	28071	2026
1399	28079	2005
1400	28097	1985
1401	28107	1964
1402	28134	1945
1403	28146	1924
1404	28163	1904
1405	28173	1883
1406	28187	1863
1407	28209	1843
1408	28217	1822
1409	28246	1802
1410	28266	1782
1411	28275	1762
1412	28284	1741
1413	28301	1721
1414	28312	1700
1415	28328	1680
1416	28345	1660
1417	28397	1642
1418	28429	1622
1419	28454	1603
1420	28473	1582
1421	28486	1562
1422	28494	1541
1423	28513	1521
1424	28533	1501
1425	28553	1481
1426	28576	1461
1427	28585	1441
1428	28656	1423
1429	28667	1403
1430	28692	1383
1431	28711	1363
